,eof1_pval,lat,lon
0,0,1.39531,199.688
0,0,1.39531,202.5
0,0,1.39531,205.312
0,0,1.39531,208.125
0,0,1.39531,210.938
0,0,1.39531,213.75
0,0,1.39531,216.562
0,0,1.39531,219.375
0,0,1.39531,222.188
0,0,1.39531,225
0,0,1.39531,227.812
0,0,1.39531,230.625
0,0,1.39531,233.438
0,0,1.39531,236.25
0,0,1.39531,239.062
0,0,1.39531,241.875
0,0,1.39531,244.688
0,0,1.39531,247.5
0,0,1.39531,250.312
0,0,1.39531,253.125
0,0,1.39531,255.938
0,0,1.39531,258.75
0,0,1.39531,261.562
0,0,1.39531,264.375
0,0,1.39531,267.188
0,0,1.39531,270
0,0,1.39531,272.812
0,0,1.39531,275.625
0,10,-1.39531,278.438
0,8.27242e-31,-1.39531,151.875
0,1.7489e-08,-1.39531,154.688
0,0.980511,-1.39531,157.5
0,1.53169e-16,-1.39531,160.312
0,6.17039e-57,-1.39531,163.125
0,5.41802e-130,-1.39531,165.938
0,1.37906e-220,-1.39531,168.75
0,2.06868e-293,-1.39531,171.562
0,0,-1.39531,174.375
0,0,-1.39531,177.188
0,0,-1.39531,180
0,0,-1.39531,182.812
0,0,-1.39531,185.625
0,0,-1.39531,188.438
0,0,-1.39531,191.25
0,0,-1.39531,194.062
0,0,-1.39531,196.875
0,0,-1.39531,199.688
0,0,-1.39531,202.5
0,0,-1.39531,205.312
0,0,-1.39531,208.125
0,0,-1.39531,210.938
0,0,-1.39531,213.75
0,0,-1.39531,216.562
0,0,-1.39531,219.375
0,0,-1.39531,222.188
0,0,-1.39531,225
0,0,-1.39531,227.812
0,0,-1.39531,230.625
0,0,-1.39531,233.438
0,0,-1.39531,236.25
0,0,-1.39531,239.062
0,0,-1.39531,241.875
0,0,-1.39531,244.688
0,0,-1.39531,247.5
0,0,-1.39531,250.312
0,0,-1.39531,253.125
0,0,-1.39531,255.938
0,0,-1.39531,258.75
0,0,-1.39531,261.562
0,0,-1.39531,264.375
0,0,-1.39531,267.188
0,0,-1.39531,270
0,0,-1.39531,272.812
0,0,-1.39531,275.625
0,10,-4.18592,278.438
0,3.92699e-44,-4.18592,151.875
0,1.2324e-18,-4.18592,154.688
0,0.000392092,-4.18592,157.5
0,2.38342e-06,-4.18592,160.312
0,5.27492e-36,-4.18592,163.125
0,3.46397e-84,-4.18592,165.938
0,2.17097e-150,-4.18592,168.75
0,7.94226e-213,-4.18592,171.562
0,5.56504e-274,-4.18592,174.375
0,1.4754e-309,-4.18592,177.188
0,0,-4.18592,180
0,0,-4.18592,182.812
0,0,-4.18592,185.625
0,0,-4.18592,188.438
0,0,-4.18592,191.25
0,0,-4.18592,194.062
0,0,-4.18592,196.875
0,0,-4.18592,199.688
0,0,-4.18592,202.5
0,0,-4.18592,205.312
